symbol,date,open,high,low,volume,close,dividends
XLE,2025-02-28,88.62876213896779,90.36521908336006,88.07309833927474,13313600,90.29576110839844,0.0
XLE,2025-03-03,90.64305385168667,91.15903388517444,86.33664412708238,24750900,87.14037322998047,0.0
XLE,2025-03-04,85.86035397622315,87.69603554428431,84.76886825226936,25338500,86.29695129394531,0.0
XLE,2025-03-05,85.04669841239036,85.48329572116074,83.37969945295515,28255400,85.03677368164062,0.0
XLE,2025-03-06,84.6299485499909,85.82065881965622,83.96513544226696,23552100,85.29476165771484,0.0
XLE,2025-03-07,85.68174365647415,87.37850921290323,85.68174365647415,22424600,86.75338745117188,0.0
XLE,2025-03-10,87.22967863265569,88.59899625198234,86.58470739103133,20022700,87.39836120605469,0.0
XLE,2025-03-11,87.7555754282155,88.13263192656791,86.23741713360646,15115100,86.70377349853516,0.0
XLE,2025-03-12,86.76331235254588,87.90440655266391,86.43586437512964,16120200,87.10067749023438,0.0
XLE,2025-03-13,86.79308195253097,88.04333309171045,85.97942813155579,15371000,86.50532531738281,0.0
XLE,2025-03-14,86.98161416695686,89.18442751335634,86.58470820144603,16011600,89.06536102294922,0.0
XLE,2025-03-17,88.9958994440116,90.90103891691743,88.9958994440116,14880800,90.48429107666016,0.0
XLE,2025-03-18,90.99033990705986,91.19872140011843,89.91870367175903,15403300,90.63312530517578,0.0
XLE,2025-03-19,90.75220230581516,92.51842591110578,90.73236041411207,15871300,92.11160278320312,0.0
XLE,2025-03-20,91.60554653980226,92.7565730758396,91.21856530759871,16581800,92.44896697998047,0.0
XLE,2025-03-21,92.14136593415182,92.35966458641897,91.22848754317225,18487800,91.80399322509766,0.0
XLE,2025-03-24,92.22000122070312,93.4000015258789,92.06999969482422,11912300,92.8499984741211,0.716
XLE,2025-03-25,93.26000213623047,94.04000091552734,92.94999694824219,11146000,93.2300033569336,0.0
XLE,2025-03-26,94.0999984741211,94.81999969482422,93.55000305175781,12782300,93.77999877929688,0.0
XLE,2025-03-27,93.5,93.8499984741211,92.5,9573900,92.87000274658203,0.0
XLE,2025-03-28,92.81999969482422,93.16999816894531,91.97000122070312,11121800,92.43000030517578,0.0
